class_id,class_name,validation_images,validation_boxes,precision,recall,f1_score,mAP50,mAP50_95
0,Aortic enlargement,613,680,0.6863,0.8353,0.7535,0.8635,0.5278
1,Atelectasis,37,48,0.2098,0.25,0.2281,0.1838,0.0726
2,Calcification,90,137,0.2274,0.1241,0.1606,0.113,0.0459
3,Cardiomegaly,460,479,0.7244,0.8894,0.7985,0.8877,0.5817
4,Consolidation,71,88,0.3667,0.4545,0.4059,0.3765,0.18
5,ILD,77,148,0.2601,0.1689,0.2048,0.1785,0.0805
6,Infiltration,123,195,0.4341,0.3077,0.3601,0.2951,0.1171
7,Lung Opacity,264,411,0.3004,0.256,0.2764,0.2019,0.071
8,Nodule/Mass,165,392,0.4517,0.2602,0.3302,0.2577,0.1161
9,Other lesion,227,350,0.1678,0.0514,0.0787,0.0504,0.0148
10,Pleural effusion,206,374,0.3831,0.3957,0.3893,0.3201,0.108
11,Pleural thickening,396,848,0.3119,0.1651,0.2159,0.1662,0.0463
12,Pneumothorax,19,34,0.118,0.1176,0.1178,0.0548,0.0222
13,Pulmonary fibrosis,323,663,0.31,0.2609,0.2834,0.2395,0.0888
